Locations,Season,Leg,Longitude,Latitude
Mexico City Angel of Independence,3,1,-99.16766,19.42702
Mexico City Zocalo,3,1,-99.1332,19.4326
Mexico City Hotel de Cortes Overnight Rest,3,1,-99.13321,19.43261
Mexico City Plaza Santo Domingo ,3,1,-99.13359,19.43855
 Mexico City to Amacuzac Aerodromo Tequesquitengo Tequesquitengo ,3,1,-99.13321,19.43261
Puente de Ixtla Hacienda San Gabriel de las Palmas ,3,1,-99.61742,19.24809
Teotihuacan Pyramid of the Sun,3,2,-98.8435,19.69227
Mexico City Museum of Anthropology ,3,2,-99.18628,19.426
 Mexico City Terminal de Autobuses de Pasajeros de Oriente,3,2,-99.13321,19.43261
Cancun San Marino Marina ,3,2,-86.85153,21.16191
 Playa del Carmen Calle 3 Sur to Cozumel Muelle Fiscal,3,2,-87.08997,20.629
Cozumel Chankanaab Park ,3,2,-86.99328,20.44382
 Cozumel Muelle Fiscal ,3,2,-86.92234,20.42298
Tulum Diamante K Bungalows ,3,2,-87.46535,20.21142
Cancun International Airport ,3,3,-86.87356,21.04034
 Camden London King's Cross railway station ,3,3,-0.1346756,51.52903
Duxford Imperial War Museum ,3,3,0.135647,52.09706
Cambridge Scudamore's ,3,3,-71.10973,42.37362
 Cambridge Parker's Piece to Aberdeen Scotland  Bus Station,3,3,-71.10973,42.37362
Stonehaven Dunnottar Castle  ,3,3,-2.19719,56.94578
Stonehaven Harbour,3,4,-118.2994,33.7861
 Aberdeen Aberdeen Airport to Porto Portugal  Francisco Sa Carneiro Airport,3,4,-8.678551,41.24212
Vila Nova de Gaia Calem Port Lodge ,3,4,-8.611785,41.12388
 Porto Sao Bento Train Station ,3,4,-8.610526,41.14561
Lisbon Estadio do Restelo  Gate F ,3,4,-9.139337,38.72225
Lisbon Torre de Belem ,3,4,-9.215977,38.69158
Sintra Cabo da Roca  ,3,5,-9.498889,38.78028
 Algeciras Spain  Puerto Bahía de Algeciras ,3,5,-5.435,36.136
 Tangier Viajes Flandria ,3,5,-5.833954,35.75947
Fez Borj Nord ,3,5,-4.985019,34.06723
Casablanca Hassan II Mosque,3,6,-7.63234,33.60739
 Casablanca Gare Casa Voyageurs ,3,6,-7.590705,33.5895
Marrakech Jemaa elFnaa Market ,3,6,-8.008889,31.63
Marrakech Palmeraie Oasis ,3,6,-7.986516,31.68809
Marrakech Café Glacier ,3,6,-8.008889,31.63
Marrakech Riad Catalina ,3,6,-8.008889,31.63
 Marrakech Marrakech Airport,3,7,-8.02706,31.60215
Munich Friedensengel,3,7,11.59696,48.14135
Munich Eisbach River ,3,7,11.58774,48.14433
 Munich München Hauptbahnhof ,3,7,11.55997,48.13935
Innsbruck Annasäule ,3,7,11.39423,47.26564
 Innsbruck Olympic Bobsleigh Track ,3,7,11.4041,47.26921
Innsbruck Nord Park Seegrube Station ,3,7,11.4041,47.26921
Neuschwanstein Castle ,3,7,10.7498,47.55757
Füssen Augustinerhof Farm ,3,8,10.70043,47.56965
 Friedrichshafen to Romanshorn Switzerland ,3,8,9.480011,47.66176
